Year,"Population, male (% of total population)","Population, male","Population, female (% of total population)","Population, female","Population, total",Population growth (annual %),"Age dependency ratio, young (% of working-age population)","Age dependency ratio, old (% of working-age population)",Age dependency ratio (% of working-age population),Sex ratio at birth (male births per female births),"Population ages 80 and above, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 70-74, female (% of female population)",Population ages 65 and above (% of total population),"Population ages 65 and above, total","Population ages 65 and above, male (% of male population)","Population ages 65 and above, male","Population ages 65 and above, female (% of female population)","Population ages 65 and above, female","Population ages 65-69, male (% of male population)","Population ages 65-69, female (% of female population)","Population ages 60-64, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 20-24, female (% of female population)",Population ages 15-64 (% of total population),"Population ages 15-64, total","Population ages 15-64, male (% of male population)","Population ages 15-64, male","Population ages 15-64, female (% of female population)","Population ages 15-64, female","Population ages 15-19, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 05-09, female (% of female population)",Population ages 0-14 (% of total population),"Population ages 0-14, total","Population ages 0-14, male (% of male population)","Population ages 0-14, male","Population ages 0-14, female (% of female population)","Population ages 0-14, female","Population ages 00-04, male (% of male population)","Population ages 00-04, female (% of female population)","Survival to age 65, male (% of cohort)","Survival to age 65, female (% of cohort)","Fertility rate, total (births per woman)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Life expectancy at birth, female (years)","Mortality rate, infant, male (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, female (per 1,000 live births)","Death rate, crude (per 1,000 people)","Birth rate, crude (per 1,000 people)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Refugee population by country or territory of asylum,Net migration,"Physicians (per 1,000 people)","Mortality rate, under-5, male (per 1,000 live births)","Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Number of neonatal deaths,Number of under-five deaths,Number of infant deaths
1961,50.51825893,9230191,49.48174107,9040809,18271000,1.999184557,57.99744297,13.14853825,71.14598123,1.056,1.159437308,1.467938387,1.452302631,1.555124635,2.119628487,2.278355216,7.682646258,1403696,7.33165308,676726,8.040991858,726971,2.600284654,2.739573621,3.172496441,3.225703172,3.93567297,3.820833504,4.804779741,4.657101524,5.585683526,5.530009112,6.080524748,6.205474436,6.827046431,7.060991224,6.964726497,6.927482961,6.635220511,6.577018242,6.415306124,6.633968275,58.42964943,10675681,58.37650504,5388263,58.48390707,5287418,7.955048054,7.845324617,10.26700617,10.04362133,11.52095635,11.23601644,33.88770431,6191622,34.29184188,3165203,33.47510107,3026420,12.50387936,12.19546331,68.804304,81.220354,3.753,68.39,71.34609756,74.45,30.1,26.9,23.5,7.7,26,190.728,106.471,55.546,44492,24186,1.1,35.2,27.7,31.5,,14726,12582
1962,50.44881297,9390542,49.5511924,9223459,18614000,1.859888233,58.08811752,13.16374241,71.25185993,1.054,1.183160619,1.506129415,1.449032473,1.577654022,2.079815523,2.264512411,7.68677092,1430816,7.292071536,684765,8.088620289,746051,2.580062921,2.740324441,3.184379065,3.234331898,3.966853195,3.855831967,4.838366401,4.709006742,5.55990225,5.534433219,6.076105366,6.228980503,6.776374021,6.962118563,6.808248201,6.726342031,6.435119652,6.420238386,6.469606993,6.672584786,58.3935267,10869371,58.33632747,5478097,58.4517621,5391274,8.221372327,8.107894003,10.39695941,10.15817396,11.55386068,11.22080204,33.91970238,6313813,34.37160099,3227680,33.45961761,3086134,12.4207809,12.08064161,68.827548,81.017359,3.681,68.45,71.36707317,74.43,29,26,22.8,7.7,25.2,191.161,108.087,52.37,12282,26210,1.2,34,26.8,30.5,,14127,12032
1963,50.38138992,9554327,49.61861008,9409673,18964000,1.862845928,57.85989976,13.14382374,71.00372351,1.054,1.204412307,1.541795418,1.43749281,1.595353478,2.04173917,2.25112234,7.686279465,1457626,7.246870676,692390,8.132443245,765236,2.563226389,2.744172009,3.199844024,3.246490627,4.000677349,3.900580985,4.874011239,4.762795107,5.51186346,5.516559867,6.09918657,6.276518092,6.696695017,6.815317595,6.642540616,6.532558871,6.261534686,6.295619032,6.616321348,6.779840625,58.47826042,11089817,58.41838596,5581484,58.53905532,5508334,8.515711656,8.412774514,10.46508702,10.20024224,11.60125704,11.23669667,33.83546012,6416557,34.33474336,3280454,33.32850144,3136103,12.2683993,11.89156254,68.747496,81.158174,3.607,68.41,71.38073171,74.5,28,25,21.9,7.8,24.6,191.753,106.692,50.662,10946,40913,1.3,32.8,25.7,29.4,,13490,11460
1964,50.32120435,9724573,49.67879047,9600426,19325000,1.885714943,57.30695521,13.1127968,70.41975201,1.056,1.226221603,1.580821252,1.419985449,1.606495432,2.012793411,2.250058079,7.69441124,1486945,7.208058248,700953,8.187053433,785992,2.549057784,2.749678669,3.222763488,3.268500213,4.035391207,3.94773591,4.910994232,4.822631774,5.454014222,5.493706936,6.140773588,6.325274366,6.609985635,6.65718996,6.491237929,6.368795487,6.1507682,6.223442131,6.803070834,6.932309894,58.67864642,11339648,58.61764036,5700315,58.74044138,5639333,8.798641021,8.700854711,10.51328242,10.20639802,11.64277634,11.26453358,33.62694234,6498407,34.1743014,3323305,33.07250519,3175101,12.01824263,11.60157359,68.682657,81.667682,3.456,68.63,71.77634146,75.08,27,24,21,7.5,23.4,191.376,104.377,48.539,10178,58965,1.3,31.6,24.8,28.2,,12758,10804
1965,50.26804318,9891746,49.73195682,9786254,19678000,1.810166597,56.43951602,13.08887921,69.52839523,1.056,1.250331281,1.624270244,1.400091157,1.61395531,1.99232569,2.26605831,7.720758065,1519291,7.182846179,710509,8.264468381,808782,2.54009805,2.760184517,3.252114214,3.303970494,4.073626247,3.996771528,4.939398376,4.87671713,5.41317994,5.484159529,6.181838518,6.348208898,6.528083715,6.50843251,6.365037222,6.235566752,6.124155403,6.211663678,7.015465117,7.136106478,58.98716809,11607495,58.93591678,5829791,59.03897186,5777704,9.043018024,8.937374868,10.57450018,10.21974589,11.65878412,11.29043097,33.29207385,6551214,33.88123704,3351446,32.69655975,3199768,11.64795274,11.1863829,69.055498,81.855963,3.115,68.76,71.87219512,75.14,25.7,23.1,20.2,7.6,21.3,192.02,105.284,47.892,9980,103588,1.3,30.2,23.9,27.1,,11684,9818
1966,50.22550724,10069210,49.77449775,9978791,20048000,1.862813771,55.23739406,13.04550924,68.2829033,1.054,1.264444596,1.663559362,1.382732966,1.628272225,1.971633327,2.28437756,7.752129027,1554147,7.156183288,720571,8.353474633,833576,2.537372399,2.777265487,3.2862723,3.350700248,4.117869819,4.056417946,4.946712405,4.915926455,5.403887275,5.50063607,6.20494227,6.33432912,6.444234231,6.361567083,6.262944771,6.127910638,6.192651795,6.267421302,7.29405898,7.403947611,59.42374141,11913272,59.40492561,5981607,59.4427277,5931666,9.251351766,9.123871225,10.65489812,10.26741489,11.62768222,11.26210644,32.82412956,6580581,33.4388911,3367032,32.20379767,3213550,11.15631076,10.67427633,69.02617,82.034896,2.749,68.78,72.00439024,75.39,24.6,22.1,19.5,7.5,19.3,193.593,104.174,46.879,10225,135984,1.3,28.9,23,26,,10455,8693
1967,50.19582959,10245973,49.80417041,10166027,20412000,1.799356505,53.75716509,12.98741974,66.74458482,1.052,1.273112332,1.70385653,1.368260805,1.655160438,1.945560275,2.289242685,7.788811278,1589852,7.133172719,730863,8.449605768,858989,2.546239307,2.801346116,3.326530971,3.40450568,4.172495287,4.138479112,4.927181694,4.937667625,5.430398702,5.552013664,6.200274502,6.283488094,6.345491356,6.206299451,6.175577094,6.042319703,6.346672537,6.388623247,7.648011175,7.714692751,59.97196204,12241477,60.00381687,6147975,59.93985671,6093502,9.431183553,9.271767384,10.73981427,10.34339624,11.53456807,11.14015462,32.23922668,6580671,32.86301041,3367135,31.61053752,3213536,10.58862806,10.12698666,69.124165,82.193804,2.528,68.92,72.20780488,75.66,23.5,21.2,18.7,7.4,18.2,193.039,103.892,44.706,9991,124220,1.3,27.7,22.1,25,,9487,7848
1968,50.16749768,10406746,49.83250232,10337254,20744000,1.613408503,52.17182785,12.95204291,65.12387076,1.057,1.28435235,1.748594723,1.353117022,1.683384732,1.920560171,2.288951015,7.843833727,1627125,7.13204639,742214,8.560405969,884911,2.574016848,2.839475498,3.373228285,3.46476352,4.237065245,4.23757015,4.887824985,4.940293221,5.493707893,5.634421002,6.161456892,6.188560733,6.239047902,6.057017943,6.103013651,5.97870207,6.563858098,6.567469788,8.005329839,8.025610481,60.56059618,12562690,60.64352272,6311017,60.47711218,6251673,9.578989931,9.382703275,10.8249506,10.42538557,11.39579737,10.96246055,31.59557009,6554185,32.22443089,3353515,30.96248185,3200670,10.00368293,9.574635724,69.755129,82.49352,2.386,69.09,72.35341463,75.78,22.6,20.3,17.9,7.4,17.6,189.613,103.251,42.842,17950,103269,1.3,26.6,21.2,24,,8808,7300
1969,50.13063649,10541470,49.86936351,10486530,21028000,1.359783472,50.56099607,12.94719233,63.50818839,1.057,1.293808898,1.797403535,1.336177168,1.70393857,1.90391673,2.295263679,7.918374016,1665076,7.152939971,754025,8.687818247,911051,2.619037176,2.891212463,3.424152854,3.531167191,4.300727942,4.336978378,4.84581103,4.934042564,5.575982051,5.722312387,6.092163672,6.053944271,6.139136261,5.928351916,6.061706884,5.943719677,6.831965354,6.790247802,8.309586633,8.313672388,61.15901636,12860518,61.29085948,6460958,61.0264825,6399560,9.709626796,9.472045929,10.89602845,10.48550778,11.2010231,10.7411541,30.92260962,6502406,31.55620055,3326487,30.28569925,3175919,9.459148998,9.059037368,69.868064,82.587956,2.334,69.16,72.50146341,76.01,21.7,19.4,17,7.3,17.6,190.227,103.714,42.404,19275,85859,1.4,25.6,20.2,23,,8358,6978
1970,50.1342807,10690634,49.8657193,10633366,21324000,1.3978316,48.70293918,12.90342383,61.606363,1.06,1.291839594,1.837815313,1.311842254,1.713139329,1.893952683,2.308709,7.984477604,1702610,7.167843019,766288,8.80551033,936322,2.670208488,2.945846688,3.470580085,3.597233327,4.338422852,4.409835201,4.808613306,4.930445845,5.634994409,5.766254891,6.01237885,5.897194613,6.05652987,5.814970773,6.102193071,5.955837046,7.191777348,7.064789972,8.629958801,8.641095397,61.87875086,13195025,62.09167053,6637993,61.66468448,6557032,9.846221935,9.587027411,10.88920779,10.48121693,10.89279514,10.45081979,30.13677154,6426365,30.74048645,3286353,29.52980519,3140012,8.958483524,8.597768481,69.995557,82.900937,2.258,69.32,72.7004878,76.25,20.8,18.5,16.1,7.3,17.4,187.159,102.565,42.661,18518,295787,1.4,24.5,19.2,22,4838,8006,6728
