Year,Population growth (annual %),"Fertility rate, total (births per woman)",Net migration,Total population,Crude birth rate
1960,,2,-46245,93216000,17.2
1961,0.8960336768,1.96,-33403,94055000,16.9
1962,0.9291662083,1.98,-18594,94933000,17
1963,1.0134602262,2,3819,95900000,17.3
1964,1.040449628,2.05,29206,96903000,17.7
1965,1.0767084593,2.14,49763,97952000,18.6
1966,0.913610314,1.58,65702,98851000,13.7
1967,1.0345787444,2.23,74137,99879000,19.4
1968,1.1269968455,2.13,93749,101011000,18.6
1969,1.1888148669,2.13,116285,102219000,18.5
1970,1.1516404722,2.13,124197,103403000,18.8
1971,2.1942535067,2.16,110997,105697000,19.2
1972,1.4007791813,2.14,93814,107188000,19.3
1973,1.4071887405,2.14,67245,108707000,19.4
1974,1.3295820188,2.05,38925,110162000,18.6
1975,1.2727075526,1.91,22942,111573000,17.1
1976,1.0715598102,1.85,47790,112775000,16.3
1977,0.9680327262,1.8,31569,113872000,15.5
1978,0.910030976,1.79,852,114913000,14.9
1979,0.8466145029,1.77,-21454,115890000,14.2
1980,0.7881534759,1.75,-30594,116807000,13.6
1981,0.728460836,1.74,-39929,117661000,13
1982,0.6936561494,1.77,-32081,118480000,12.8
1983,0.6955833031,1.8,-18563,119307000,12.7
1984,0.6483167367,1.81,-11510,120083000,12.5
1985,0.6259359636,1.76,-8228,120837000,11.9
1986,0.5323573664,1.72,-12925,121482000,11.4
1987,0.482035497,1.69,-3413,122069000,11.1
1988,0.4161103422,1.66,8399,122578000,10.8
1989,0.3997611645,1.57,17970,123069000,10.2
1990,0.3317828854,1.54,26291,123478000,10
1991,0.3928198325,1.53,31126,123964000,9.9
1992,0.3711923872,1.5,34064,124425000,9.8
1993,0.3241675991,1.46,39228,124829000,9.6
1994,0.279192364,1.5,41331,125178000,10
1995,0.2345901734,1.42,38572,125472000,9.6
1996,0.2268847325,1.43,41491,125757000,9.7
1997,0.2382712176,1.39,46477,126057000,9.5
1998,0.2717296102,1.38,56577,126400000,9.6
1999,0.1825863741,1.34,72925,126631000,9.4
2000,0.1672755781,1.36,84477,126843000,9.5
2001,0.2409525875,1.33,93257,127149000,9.3
2002,0.2325271871,1.32,102260,127445000,9.2
2003,0.2139809488,1.29,119257,127718000,8.9
2004,0.0336622583,1.29,135835,127761000,8.8
2005,0.0093920966,1.26,153248,127773000,8.4
2006,0.0633735894,1.32,160536,127854000,8.7
2007,0.1149088477,1.34,163068,128001000,8.6
2008,0.0484253946,1.37,158396,128063000,8.7
2009,-0.0124946312,1.37,159210,128047000,8.5
2010,0.0179605415,1.39,148460,128070000,8.5
2011,-0.1852264864,1.39,139793,127833000,8.3
2012,-0.1597106758,1.41,137344,127629000,8.2
2013,-0.1442718834,1.43,134721,127445000,8.2
2014,-0.1326942221,1.42,139401,127276000,8
2015,-0.1061249937,1.45,150215,127141000,8
2016,-0.0511374152,1.44,156993,127076000,7.8
2017,-0.081874296,1.43,164070,126972000,7.6
2018,-0.1268800681,1.42,177470,126811000,7.4
2019,-0.1404649779,1.36,183953,126633000,7
2020,-0.2941946178,1.33,87584,126261000,6.8
2021,-0.4599524158,1.3,87584,125681593,6.6
2022,-0.4438519191,,99994,125124989,
2023,,,99994,,
